,NPP_ANNUAL,PoTemp_AnnSea,PoDens_AnnSea,Salinity_AnnSea,upVelo_AnnSea,VEddyDiff_AnnSea,ZonCur_AnnSea,ZonWindStr_AnnSea,MerCur_AnnSea,MerWindStr_AnnSea,SST_AnnSea,TotalHeat_AnnSea,Shortwave_AnnSea,NetUpwardWaterFlux_AnnSea,SeaSurfaceThermostericHeight_AnnSea,SeaSurfaceStericHeight_AnnSea,SSH_AnnSea,SSS_AnnSea,SurfaceSaltFlux_AnnSea,MLD_AnnSea,NetSurfaceHeatFlux_AnnSea,BaroclinicDynamicHeight_AnnSea,SurfacePressure_AnnSea,StratIndex_AnnSea
LABEL,Annual net primary production (gC $\text{year}^{-1}$),Annual potential temperature (K),Annual potential density (kg/m$^3$),Annual salinity (psu),Annual upward velocity (m/s),Annual vertical eddy diffusivity ($m2/s$),Annual zonal current (m/s),Annual zonal wind stress (N/m$^2$),Annual meridional current (m/s),Annual meridional wind stress (N/m$^2$),Annual sea surface temperature (K),Annual net downward total heat flux (W/m$^2$),Annual net downward shortwave flux (W/m$^2$),Annual net upward water flux (mm/s),Annual sea surface thermosteric height (m),Annual sea surface steric height (m),Annual sea surface height (m),Annual sea surface salinity (psu),Annual surface salt flux (Kg/m2/s),Annual mixed layer depth (m),Annual >net surface heat flux (W/m$^2$),Annual baroclinic dynamical height (m),Annual surface pressure (Pa),Annual stratification index (s$^{-1}$)
UNIT,g / yr,K,kg / m^3,,m/s,m^2 / s,m/s,N / m^2,m/s,N / m^2,K,W / m^2,W / m^2,mm/s,m,m,m,,kg/m^2/s,m,W / m^2,m,Pa,s^-1
RCP85_2065,28.34004748706765,286.1301245584428,1028.9998154645095,38.38551775544197,3.081611704121401e-07,0.30803587283135503,0.0028741510722439384,0.04141610144234001,0.003771186365031678,-0.058928399128518494,292.4805003875577,-14.286751018548468,178.59756068976247,3.8250917076567424e-05,-37.02741974086987,0.2062625397173316,-0.007053319440488674,37.674800327109686,0.0014420550582725936,32.0692327568171,-17.330386576574675,-36.08907769916371,392.08987261974073,2.9929460235481598
RCP85_2066,28.33209710758726,286.1841453382605,1028.9942464978228,38.38829730235601,4.0598740848844294e-07,0.3513104774453277,-0.0007178353701348603,0.05237360010460655,0.0040384315869343755,-0.06545026151631164,291.9003953861751,-30.643979518599544,176.55751769258535,3.297607193857087e-05,-37.02364725539525,0.1952230922767961,-0.015861237632525158,37.588877412525825,0.0012400482931115985,36.47310385035882,-33.25776889469384,-36.08063738706301,280.47385070512837,3.072383656273133
RCP85_2067,25.56523225104832,286.1977069173309,1028.9888372398536,38.3893237494945,1.2286091785495849e-06,0.25298879948016584,0.0013137956023745847,0.04359007419719356,0.003579230442099443,-0.05612626068162023,291.9514910132071,-20.927974209015737,175.35232804526447,3.195332188445577e-05,-36.99999845459011,0.25069813994942114,0.01659290668878304,37.5471390706503,0.0012007025720044457,28.814798060774585,-23.55142199409773,-36.06392931762156,241.4804265677501,3.239886522660509
RCP85_2068,27.791963029943656,286.2683939599819,1028.9851563541101,38.394766876808404,1.7893396241813173e-06,0.34918529511417473,0.004161431634965006,0.04197653455969251,0.0029994400398403818,-0.05149089180827776,291.7538025594082,-9.650489974841715,178.35408995015013,3.553737687224592e-05,-37.004584401757626,0.22945287999567615,0.0024623897278120924,37.67576265832728,0.0013393959894028177,35.35639328558322,-12.32623770332589,-36.06348819847732,595.1231143137668,3.21435830074165
RCP85_2069,27.728687664696544,286.1734369659146,1028.9940711887714,38.38833714453719,9.41258649025858e-07,0.2955880570557775,0.003511358284692577,0.04131837992090092,0.0041657976705136955,-0.05431151119820557,292.29408663065084,-14.161805132990967,175.41291742721754,3.1203128959214075e-05,-37.01048553230885,0.20894099200448255,-0.010277472910868116,37.72267829306165,0.001178744263237142,31.966719031154042,-16.569306628295607,-36.073808126689066,444.30706875979433,3.144763667077469
RCP85_2070,24.635928666441103,286.2261206631794,1028.9830313993948,38.38938684659422,-2.812165487297983e-07,0.28240325035557945,0.004652509165479688,0.0488312747961768,0.003956298997343237,-0.059228915413156516,292.3621996254009,-14.064067283968914,180.97596599489887,3.4872192160131985e-05,-36.976768053674014,0.24154590042881402,0.019554419702255764,37.681038780083185,0.0013144120020189955,29.822172631738564,-16.79599339149889,-36.041517395015696,557.8321814686769,3.4004058734191274
RCP85_2071,29.53581460664364,286.25676736663763,1028.9872273583042,38.39754503968858,9.480007512341715e-07,0.3963145311846136,0.0030276395544475035,0.039271029535177276,0.003670480895683597,-0.06065112832294237,291.8662881940113,-22.374429507122308,176.4729074742577,3.233236452861544e-05,-36.991296808908885,0.21192177147550179,-0.0037240569540512754,37.77186913584455,0.0012221086730456307,38.75699090071545,-24.790275816326933,-36.06307844681672,551.340004410292,3.125376170272065
RCP85_2072,29.241181859481376,286.2636763510075,1028.9892638598856,38.40036886901515,7.813714427861719e-07,0.33543217170247885,0.003745839340996316,0.043798316738118064,0.0054905700742217175,-0.060667062787195386,292.0545801764244,-26.796689576193774,176.49321725041275,3.547183399066009e-05,-36.99761465709741,0.19732632555221635,-0.01350268290542137,37.80195336468124,0.0013419792680590757,34.412130948974735,-29.53841200988904,-36.07216817669817,554.1045141095485,3.0929932649897376
RCP85_2073,28.524029113092546,286.21378102613994,1028.9945839670877,38.39817440802686,2.6940553625819955e-07,0.4174739527708017,0.004819445268869969,0.062471174830374024,0.004298995415423514,-0.05393594916433646,292.0353888128366,-24.374971191861082,177.84089556426756,4.0430640776341415e-05,-36.99783555923644,0.21004375834063121,-0.006198019421819538,37.84136215728953,0.0015296669899057872,42.01034700185389,-27.53635722513814,-36.078441217010365,348.79062380500864,2.998729587050268
RCP85_2074,28.21816599575969,286.2218467635269,1028.985110103177,38.39017210907654,1.618862346085411e-06,0.3802397780557989,-0.0013007186406291114,0.05165368735229217,0.0020973055251682087,-0.0622547310291653,292.0539656655167,-21.069023291244644,178.45227455093394,3.88111518731565e-05,-36.982611396350435,0.2376305451539727,0.012524038774356726,37.712257869698206,0.0014645438977802562,38.12546389764291,-24.085731152080136,-36.04803770621042,348.9644716540534,3.2768140564732633
